Player Name,Position,Team,Bye Week,Overall Rank,Likely Available,Drafted,My Player
Dallas Goedert,TE,PHI,9,125,125,No,No
Jayden Higgins,WR,IA,6,126,126,No,No
Trey Benson,RB,ARI,8,127,127,No,No
Raheem Mostert,RB,MIA,12,128,128,No,No
Jalen McMillan,WR,TB,9,129,129,No,No
WanDale Robinson,WR,NYG,14,130,130,No,No
Rashid Shaheed,WR,NO,11,131,131,No,No
Cole Kmet,TE,CHI,5,132,132,No,No
Tre Harris,WR,OLE,12,133,133,No,No
Darius Slayton,WR,NYG,14,134,134,No,No
Hunter Henry,TE,NE,14,135,135,No,No
Tyler Allgeier,RB,ATL,5,136,136,No,No
Mason Taylor,TE,LSU,9,137,137,No,No
Quinshon Judkins,RB,OSU,9,138,138,No,No
Tetairoa McMillan,WR,ARI,14,139,139,No,No
Kaleb Johnson,RB,IA,5,140,140,No,No
Tua Tagovailoa,QB,MIA,12,141,141,No,No
Kyler Murray,QB,ARI,8,142,142,No,No
Tyler Warren,TE,PSU,11,143,143,No,No
Mark Andrews,TE,BAL,7,144,144,No,No
Jerome Ford,RB,CLE,9,145,145,No,No
Luther Burden III,WR,MO,5,146,146,No,No
Cam Ward,QB,UM,5,147,147,No,No
C.J. Stroud,QB,HOU,6,148,148,No,No
Jonnu Smith,TE,MIA,12,149,149,No,No
Dylan Sampson,RB,TEN,9,150,150,No,No
Emeka Egbuka,WR,OSU,14,151,151,No,No
Matthew Golden,WR,HOU,5,152,152,No,No
Carson Beck,QB,UGA,12,153,153,No,No
Will Shipley,RB,CLE,9,154,154,No,No
Elic Ayomanor,WR,STAN,8,155,155,No,No
DJ Giddens,RB,KSU,11,156,156,No,No
Jarquez Hunter,RB,AUB,8,157,157,No,No
Jack Bech,WR,TCU,8,158,158,No,No
Devin Neal,RB,KU,11,159,159,No,No
Tre Tucker,WR,LV,8,160,160,No,No
Austin Ekeler,RB,WAS,12,161,161,No,No
Rachaad White,RB,TB,9,162,162,No,No
Isaac Guerendo,RB,SF,14,163,163,No,No
Darren Waller,TE,NYG,14,164,164,No,No
Justice Hill,RB,BAL,7,165,165,No,No
Kendre Miller,RB,NO,11,166,166,No,No
Cade Otton,TE,TB,9,167,167,No,No
Brandin Cooks,WR,DAL,10,168,168,No,No
Pat Bryant,WR,NO,12,169,169,No,No
Aaron Rodgers,QB,NYJ,5,170,170,No,No
Calvin Austin III,WR,PIT,5,171,171,No,No
Geno Smith,QB,SEA,8,172,172,No,No
Cam Akers,RB,HOU,11,173,173,No,No
Trevor Etienne,RB,UGA,14,174,174,No,No
Keaton Mitchell,RB,BAL,7,175,175,No,No
Juwan Johnson,TE,NO,11,176,176,No,No
Chigoziem Okonkwo,TE,TEN,10,177,177,No,No
Dyami Brown,WR,WAS,8,178,178,No,No
Tahj Brooks,RB,TTU,10,179,179,No,No
Brashard Smith,RB,SMU,10,180,180,No,No
